,DinoJumpVelocity,DinoJumping,DinoJumpspotX,DinoMidair,DinoMinJumpHeight,DinoReachedMinHeight,DinoSpeedDrop,DinoSpritePosX,DinoSpritePosY,DinoStatus,DinoXPos,DinoYPos,ObstacleDimHeight_0,ObstacleDimHeight_1,ObstacleDimHeight_2,ObstacleDimWidth_0,ObstacleDimWidth_1,ObstacleDimWidth_2,ObstacleGapCoefficient_0,ObstacleGapCoefficient_1,ObstacleGapCoefficient_2,ObstacleGap_0,ObstacleGap_1,ObstacleGap_2,ObstacleSpritePosX_0,ObstacleSpritePosX_1,ObstacleSpritePosX_2,ObstacleSpritePosY_0,ObstacleSpritePosY_1,ObstacleSpritePosY_2,ObstacleTypeConfigHeight_0,ObstacleTypeConfigHeight_1,ObstacleTypeConfigHeight_2,ObstacleTypeConfigMinGap_0,ObstacleTypeConfigMinGap_1,ObstacleTypeConfigMinGap_2,ObstacleTypeConfigMinSpeed_0,ObstacleTypeConfigMinSpeed_1,ObstacleTypeConfigMinSpeed_2,ObstacleTypeConfigMultipleSpeed_0,ObstacleTypeConfigMultipleSpeed_1,ObstacleTypeConfigMultipleSpeed_2,ObstacleTypeConfigType_0,ObstacleTypeConfigType_1,ObstacleTypeConfigType_2,ObstacleTypeConfigWidth_0,ObstacleTypeConfigWidth_1,ObstacleTypeConfigWidth_2,ObstacleTypeConfigYPos_0,ObstacleTypeConfigYPos_1,ObstacleTypeConfigYPos_2,ObstacleWidth_0,ObstacleWidth_1,ObstacleWidth_2,ObstacleXPos_0,ObstacleXPos_1,ObstacleXPos_2,ObstacleYPos_0,ObstacleYPos_1,ObstacleYPos_2,RunnerCurrentSpeed,frame_ts,key_pressed,key_event_type
49,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.345000000000115,1549808473.4834712,,
50,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.347000000000116,1549808473.5007958,,
51,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3490000000001166,1549808473.518404,,
52,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.351000000000117,1549808473.5358741,,
53,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.353000000000118,1549808473.553592,,
54,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3550000000001186,1549808473.571105,38,Down
55,-10.077500000737619,True,0.0,False,63.0,False,False,1678.0,2.0,JUMPING,24.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.357000000000119,1549808473.592063,,
56,-9.472700001347821,True,0.0,False,63.0,False,False,1678.0,2.0,JUMPING,24.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.35900000000012,1549808473.609889,,
57,-8.875100002300005,True,0.0,False,63.0,False,False,1678.0,2.0,JUMPING,24.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.361000000000121,1549808473.6274078,,
58,-8.273900000985723,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.363000000000121,1549808473.645382,,
59,-7.676300001937907,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.365000000000122,1549808473.663508,,
60,-7.07150000254811,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.367000000000123,1549808473.6809611,,
